epoch,accuracy,loss,val_accuracy,val_loss
0,0.32851481437683105,1.7839895486831665,0.4000348448753357,1.7092453241348267
1,0.43053075671195984,1.5318397283554077,0.4782305955886841,1.4181135892868042
2,0.4725911021232605,1.4218769073486328,0.44618600606918335,1.4875338077545166
3,0.4913571774959564,1.3610767126083374,0.5048763751983643,1.3342080116271973
4,0.5073366165161133,1.3162150382995605,0.5029606223106384,1.3320010900497437
5,0.5216179490089417,1.2820366621017456,0.5257750153541565,1.3191564083099365
6,0.532416045665741,1.253529667854309,0.5440613031387329,1.2447760105133057
7,0.545042872428894,1.2314482927322388,0.5198537111282349,1.2852360010147095
8,0.5509209036827087,1.209953784942627,0.5337861180305481,1.2636480331420898
9,0.5521835684776306,1.1953016519546509,0.5344827771186829,1.2557669878005981
